,,Type of institution attended 7 8,Elementary/High School,College,University
Geography 3 5 6,Age group,Reference period,,,
,,2007 / 2008,1C,14B,23B
,,2008 / 2009,1C,12B,22B
,,2009 / 2010,1C,11B,24A
,,2010 / 2011,1C,10B,27A
,,2011 / 2012,1C,13B,28A
,,2012 / 2013,1C,12B,27A
,,2013 / 2014,1C,11B,27A
,,2014 / 2015,1C,11B,27B
,,2015 / 2016,1C,11B,26B
,,2016 / 2017,1C,10B,28B
,,2017 / 2018,1C,11B,26A
,,2018 / 2019,0D,11B,28B
,,2019 / 2020,x,12B,31B
,,2020 / 2021,1D,10B,31B
,,2021 / 2022,x,8B,33A
Yukon,,2000 / 2001,x,18C,x
,,2005 / 2006,x,x,x
,,2006 / 2007,x,12E,14E
,,2007 / 2008,x,x,x
,,2008 / 2009,x,x,x
,,2009 / 2010,x,x,x
,,2010 / 2011,..,10D,x
,,2011 / 2012,..,x,14D
,,2012 / 2013,x,x,17C
,,2013 / 2014,x,13C,x
,,2014 / 2015,..,13D,15D
,,2015 / 2016,x,12D,13D
,,2016 / 2017,..,x,11E
,,2017 / 2018,x,x,12D
,,2018 / 2019,x,x,21D
,,2019 / 2020,x,13D,x
,,2020 / 2021,x,x,31C
,,2021 / 2022,..,x,34C
Northwest Territories,,2000 / 2001,..,..,..
,,2005 / 2006,x,x,8C
,,2006 / 2007,x,10C,8D
,,2007 / 2008,x,10C,6D
,,2008 / 2009,x,10D,x
,,2009 / 2010,11E,10D,x
,,2010 / 2011,x,8B,8C
,,2011 / 2012,x,10C,16C
,,2012 / 2013,x,10C,14C
,,2013 / 2014,x,9C,14C
,,2014 / 2015,x,13C,15C
,,2015 / 2016,x,x,14C
,,2016 / 2017,x,9C,10D
,,2017 / 2018,x,x,10E
,,2018 / 2019,x,x,9D
,,2019 / 2020,x,x,17C
,,2020 / 2021,x,x,13D
,,2021 / 2022,x,x,19C
Nunavut,,2000 / 2001,..,..,..
,,2005 / 2006,x,x,x
,,2006 / 2007,x,x,..
,,2007 / 2008,x,x,x
,,2008 / 2009,x,x,x
,,2009 / 2010,x,8C,x
,,2010 / 2011,x,x,x
,,2011 / 2012,x,x,x
,,2012 / 2013,x,x,x
,,2013 / 2014,x,x,x
,,2014 / 2015,x,x,x
,,2015 / 2016,x,x,x
,,2016 / 2017,x,x,x
,,2017 / 2018,x,x,x
,,2018 / 2019,x,9C,x
,,2019 / 2020,x,x,x
,,2020 / 2021,7C,x,x
,,2021 / 2022,x,x,8E
